XAUJPY Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
12/17/2025 05:00,671613.0,673637.0,671202.0,672380.0,767.0,0.11,
12/17/2025 04:00,669633.0,671947.0,669518.0,671627.0,1994.0,0.30,
12/17/2025 03:00,668699.0,669935.0,668176.0,669660.0,961.0,0.14,
12/17/2025 02:00,669146.0,669624.0,668143.0,668701.0,-445.0,-0.07,
12/17/2025 01:00,666673.0,669183.0,666625.0,669172.0,2499.0,0.37,
12/17/2025 00:00,666675.0,668153.0,666449.0,666713.0,38.0,0.01,
12/16/2025 23:00,665656.0,667033.0,665619.0,666687.0,1031.0,0.15,
12/16/2025 22:00,665668.0,665668.0,665668.0,665668.0,0.0,0.00,
12/16/2025 21:00,666301.0,666476.0,665384.0,665550.0,-751.0,-0.11,
12/16/2025 20:00,666575.9,666866.2,665744.0,666327.0,-248.9,-0.04,
12/16/2025 19:00,667135.0,667209.0,665502.0,666095.0,-1040.0,-0.16,
12/16/2025 18:00,665602.0,666104.0,665064.0,665688.0,86.0,0.01,
12/16/2025 17:00,665757.0,667077.0,665652.0,666030.0,273.0,0.04,
12/16/2025 16:00,668559.0,669352.0,667582.0,668292.0,-267.0,-0.04,
12/16/2025 15:00,668538.0,670241.0,666694.0,667859.0,-679.0,-0.10,
12/16/2025 14:00,667266.0,670666.0,666903.0,669310.0,2044.0,0.31,
12/16/2025 13:00,663921.0,666890.0,663416.0,666465.0,2544.0,0.38,
12/16/2025 12:00,662387.0,664445.0,662117.0,663938.0,1551.0,0.23,
12/16/2025 11:00,662393.0,662699.0,661909.0,662367.0,-26.0,0.00,
12/16/2025 10:00,662736.0,663180.0,661921.0,662387.0,-349.0,-0.05,
12/16/2025 09:00,663642.0,663642.0,662289.0,662721.0,-921.0,-0.14,
12/16/2025 08:00,664039.0,664394.0,662161.0,663547.0,-492.0,-0.07,
12/16/2025 07:00,664227.0,664390.0,663002.0,664074.0,-153.0,-0.02,
12/16/2025 06:00,663314.0,664946.0,663067.0,664212.0,898.0,0.14,
12/16/2025 05:00,663956.0,664201.0,661001.0,663318.0,-638.0,-0.10,
12/16/2025 04:00,664555.0,664664.0,663757.0,663982.0,-573.0,-0.09,
12/16/2025 03:00,663951.0,664653.0,662386.0,664545.0,594.0,0.09,
12/16/2025 02:00,667208.0,667892.0,663376.0,663915.0,-3293.0,-0.50,
12/16/2025 01:00,667663.0,669244.0,666235.0,667212.0,-451.0,-0.07,
12/16/2025 00:00,667273.0,668515.0,666320.0,667706.0,433.0,0.06,
12/15/2025 23:00,668198.0,668498.0,666962.0,667235.0,-963.0,-0.14,
12/15/2025 22:00,668249.3,668249.3,668249.3,668249.3,0.0,0.00,
12/15/2025 21:00,668268.0,668337.0,667585.0,668128.0,-140.0,-0.02,
12/15/2025 20:00,669700.0,669815.0,667466.0,668246.0,-1454.0,-0.22,
12/15/2025 19:00,670066.0,670798.0,669346.0,669704.0,-362.0,-0.05,
12/15/2025 18:00,668589.8,670121.0,668038.5,670076.0,1486.2,0.22,
12/15/2025 17:00,667295.0,668719.0,666458.0,668661.0,1366.0,0.20,
12/15/2025 16:00,669982.0,670018.0,665563.0,665830.0,-4152.0,-0.62,
12/15/2025 15:00,669771.0,670606.0,667902.0,669358.0,-413.0,-0.06,
12/15/2025 14:00,672179.0,672867.0,668816.0,669213.0,-2966.0,-0.44,
12/15/2025 13:00,673955.0,673976.0,671874.0,672100.0,-1855.0,-0.28,
12/15/2025 12:00,672782.0,674156.0,672672.0,673921.0,1139.0,0.17,
12/15/2025 11:00,672981.0,673079.0,672148.0,672792.0,-189.0,-0.03,
12/15/2025 10:00,672917.0,674364.0,672769.0,672938.0,21.0,0.00,
12/15/2025 09:00,674549.0,674606.0,672920.0,672953.0,-1596.0,-0.24,
12/15/2025 08:00,673694.0,674843.0,673535.0,674553.0,859.0,0.13,
12/15/2025 07:00,673656.0,674281.0,672585.0,673709.0,53.0,0.01,
12/15/2025 06:00,673330.0,674399.0,672871.0,673663.0,333.0,0.05,
12/15/2025 05:00,671574.0,673605.0,671261.0,673369.0,1795.0,0.27,
12/15/2025 04:00,672487.0,672601.0,671094.0,671577.0,-910.0,-0.14,
12/15/2025 03:00,672415.0,672719.0,671112.0,672483.0,68.0,0.01,
12/15/2025 02:00,672609.0,673232.0,671958.0,672410.0,-199.0,-0.03,
12/15/2025 01:00,671533.0,673734.0,671082.0,672576.0,1043.0,0.16,
12/15/2025 00:00,670499.0,671732.0,670292.0,671442.0,943.0,0.14,
12/14/2025 23:00,669339.0,671221.0,669246.0,670506.0,1167.0,0.17,
12/12/2025 21:00,670127.0,670580.0,669640.0,670179.2,52.2,0.01,
12/12/2025 20:00,669764.4,670683.0,668203.0,670186.0,421.6,0.06,
